num,name,depth,latitude,longitude
657,Rio Vista,10.1,38.150277777777774,-121.68416666666667
649,Sacramento River,10.1,38.05166666666666,-121.8
2,Chain Island,11.3,38.05222222222222,-121.85027777777778
3,Pittsburg,11.3,38.05027777777777,-121.86888888888888
4,Simmons Point,11.6,38.03583333333333,-121.93361111111112
5,Middle Ground,9.8,38.05166666666666,-121.96888888888888
6,Roe Island,10.1,38.052499999999995,-122.03361111111111
7,Avon Pier,11.6,38.03583333333333,-122.08555555555554
8,Martinez,14.3,38.01888888888889,-122.15027777777779
9,Benicia,34.4,38.051111111111105,-122.18361111111112
10,Crockett,17.7,38.05166666666666,-122.20138888888889
11,Mare Island,15.5,38.05166666666666,-122.26666666666667
12,Pinole Shoal,8.8,38.05027777777777,-122.30194444444444
13,N. of Pinole Point,9.8,38.01861111111111,-122.36722222222221
14,Echo Buoy,13.1,38.00111111111111,-122.40083333333334
15,Point San Pablo,22.9,37.967777777777776,-122.43388888888889
16,Charlie Buoy,12.8,37.916666666666664,-122.43555555555555
17,Raccoon Strait,32.0,37.868611111111115,-122.4175
18,Point Blunt,43.0,37.83555555555556,-122.4175
20.0,Blossom Rock,18.2,37.81722222222223,-122.385
21.0,Bay Bridge,17.4,37.784166666666664,-122.35138888888888
22.0,Potrero Point,18.0,37.7525,-122.35138888888888
23.0,Hunter's Point,20.1,37.718611111111116,-122.33388888888888
24.0,Candlestick Point,11.0,37.68583333333333,-122.33416666666666
25.0,Oyster Point,8.8,37.66722222222222,-122.31805555555555
26.0,San Bruno Shoal,9.8,37.63388888888889,-122.30222222222221
27.0,San Francisco Airport,13.0,37.61694444444444,-122.28472222222221
28.0,N. of San Mateo Bridge,16.2,37.60027777777778,-122.26722222222222
29.0,S. of San Mateo Bridge,14.6,37.56888888888889,-122.23527777777778
29.5,Steinberger Slough,14.6,37.566944444444445,-122.21694444444445
30.0,Redwood Creek,12.8,37.55083333333333,-122.18444444444445
31.0,Coyote Hills,13.7,37.51861111111111,-122.15138888888889
32.0,Ravenswood Point,12.8,37.51694444444444,-122.13333333333334
33.0,Dumbarton Bridge,11.6,37.50138888888889,-122.11749999999999
35.0,Mowry Slough,8.5,37.46888888888889,-122.06861111111111
36.0,Calaveras Point,7.9,37.4675,-122.066666666666